Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Rice and products","2014","kg/cap","80.8"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Rice and products","2014","kcal/cap/d","520.85"
"Food Balances (2010-)","World","Food supply (kcal)","Rice and products","2014","Kcal","1387288219.84"
"Food Balances (2010-)","World","Production","Rice and products","2015","1000 t","730850"
"Food Balances (2010-)","World","Import quantity","Rice and products","2015","1000 t","60605"
"Food Balances (2010-)","World","Stock Variation","Rice and products","2015","1000 t","12430"
"Food Balances (2010-)","World","Export quantity","Rice and products","2015","1000 t","64278"
"Food Balances (2010-)","World","Feed","Rice and products","2015","1000 t","33464"
"Food Balances (2010-)","World","Seed","Rice and products","2015","1000 t","17851"
"Food Balances (2010-)","World","Losses","Rice and products","2015","1000 t","31644"
"Food Balances (2010-)","World","Processing","Rice and products","2015","1000 t","14656"
"Food Balances (2010-)","World","Other uses (non-food)","Rice and products","2015","1000 t","18501"
"Food Balances (2010-)","World","Tourist consumption","Rice and products","2015","1000 t","130"
"Food Balances (2010-)","World","Residuals","Rice and products","2015","1000 t","5927"
"Food Balances (2010-)","World","Food","Rice and products","2015","1000 t","592573"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Rice and products","2015","kg/cap","80.25"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Rice and products","2015","kcal/cap/d","516.39"
"Food Balances (2010-)","World","Food supply (kcal)","Rice and products","2015","Kcal","1391830221.5"
"Food Balances (2010-)","World","Production","Rice and products","2016","1000 t","733109"
"Food Balances (2010-)","World","Import quantity","Rice and products","2016","1000 t","58299"
"Food Balances (2010-)","World","Stock Variation","Rice and products","2016","1000 t","19506"
"Food Balances (2010-)","World","Export quantity","Rice and products","2016","1000 t","60099"
"Food Balances (2010-)","World","Feed","Rice and products","2016","1000 t","37094"
"Food Balances (2010-)","World","Seed","Rice and products","2016","1000 t","17495"
"Food Balances (2010-)","World","Losses","Rice and products","2016","1000 t","31287"
"Food Balances (2010-)","World","Processing","Rice and products","2016","1000 t","14652"
"Food Balances (2010-)","World","Other uses (non-food)","Rice and products","2016","1000 t","17833"
"Food Balances (2010-)","World","Tourist consumption","Rice and products","2016","1000 t","116"
"Food Balances (2010-)","World","Residuals","Rice and products","2016","1000 t","1897"
"Food Balances (2010-)","World","Food","Rice and products","2016","1000 t","591428"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Rice and products","2016","kg/cap","79.16"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Rice and products","2016","kcal/cap/d","510.93"
"Food Balances (2010-)","World","Food supply (kcal)","Rice and products","2016","Kcal","1393259895.5"
"Food Balances (2010-)","World","Production","Rice and products","2017","1000 t","746264"
"Food Balances (2010-)","World","Import quantity","Rice and products","2017","1000 t","67279"
"Food Balances (2010-)","World","Stock Variation","Rice and products","2017","1000 t","17723"
